"Date","Price","Open","High","Low","Vol.","Change %"
"24/06/2022","4,700.76","4,586.92","4,709.68","4,583.63","151.34M","3.09%"
"23/06/2022","4,560.03","4,571.68","4,616.14","4,522.71","163.41M","-0.69%"
"22/06/2022","4,591.67","4,563.09","4,609.05","4,528.27","148.28M","-0.83%"
"21/06/2022","4,630.18","4,615.20","4,681.27","4,615.12","119.08M","0.74%"
"20/06/2022","4,596.16","4,577.17","4,596.16","4,544.42","124.95M","0.66%"
"17/06/2022","4,565.92","4,578.65","4,632.54","4,550.57","277.74M","0.05%"
"16/06/2022","4,563.67","4,660.50","4,671.06","4,553.47","170.66M","-2.46%"
"15/06/2022","4,678.53","4,667.88","4,703.57","4,632.90","173.66M","1.41%"
"14/06/2022","4,613.31","4,704.50","4,713.49","4,603.99","194.35M","-1.30%"
"13/06/2022","4,674.18","4,742.39","4,757.43","4,662.57","189.60M","-2.82%"
"10/06/2022","4,809.87","4,907.25","4,913.06","4,802.50","168.18M","-2.62%"
"09/06/2022","4,939.38","4,982.55","5,015.03","4,927.10","145.82M","-1.39%"
"08/06/2022","5,009.01","5,054.18","5,054.18","4,983.20","131.07M","-0.81%"
"07/06/2022","5,050.00","5,063.98","5,065.52","5,017.98","135.16M","-0.69%"
"06/06/2022","5,084.90","5,083.39","5,116.27","5,075.60","107.65M","0.99%"
"03/06/2022","5,035.08","5,077.18","5,077.21","5,026.70","92.61M","-0.23%"
"02/06/2022","5,046.86","5,012.46","5,051.26","5,011.61","103.39M","1.22%"
"01/06/2022","4,986.19","5,055.20","5,058.54","4,983.47","123.85M","-0.79%"
"31/05/2022","5,025.96","5,078.61","5,081.28","5,018.24","265.33M","-1.39%"
"30/05/2022","5,096.70","5,085.90","5,113.80","5,078.40","123.75M","0.67%"
"27/05/2022","5,062.63","5,018.05","5,065.12","4,995.01","123.52M","1.55%"
"26/05/2022","4,985.55","4,900.71","4,996.21","4,900.47","123.05M","1.73%"
"25/05/2022","4,900.80","4,894.00","4,916.24","4,847.78","163.68M","0.73%"
"24/05/2022","4,865.49","4,890.29","4,922.43","4,862.46","125.25M","-1.67%"
"23/05/2022","4,948.14","4,943.07","4,948.14","4,878.27","117.29M","1.14%"
"20/05/2022","4,892.48","4,904.19","4,959.90","4,876.87","138.41M","0.27%"
"19/05/2022","4,879.07","4,882.93","4,892.35","4,822.02","140.83M","-1.26%"
"18/05/2022","4,941.28","5,006.20","5,017.42","4,934.15","135.14M","-1.12%"
"17/05/2022","4,997.00","4,959.01","5,010.64","4,956.17","124.11M","1.29%"
"16/05/2022","4,933.37","4,909.21","4,950.38","4,885.37","123.67M","-0.19%"
"13/05/2022","4,942.53","4,855.46","4,942.69","4,847.07","135.60M","2.52%"
"12/05/2022","4,820.82","4,762.79","4,843.86","4,737.25","159.70M","-1.01%"
"11/05/2022","4,869.90","4,800.66","4,869.90","4,771.95","157.31M","2.34%"
"10/05/2022","4,758.69","4,781.86","4,825.93","4,758.69","139.95M","0.53%"
"09/05/2022","4,733.77","4,829.34","4,869.12","4,733.77","144.94M","-2.77%"
"06/05/2022","4,868.51","4,913.37","4,916.11","4,835.60","190.03M","-1.65%"
"05/05/2022","4,950.10","5,087.88","5,094.58","4,937.86","188.07M","-0.45%"
"04/05/2022","4,972.54","5,034.59","5,044.43","4,972.54","122.85M","-1.11%"
"03/05/2022","5,028.44","5,015.81","5,050.30","4,989.42","121.79M","0.83%"
"02/05/2022","4,987.05","5,021.55","5,026.23","4,885.66","133.12M","-1.65%"
"29/04/2022","5,070.88","5,088.98","5,120.27","5,057.62","127.23M","0.39%"
"28/04/2022","5,051.27","5,057.19","5,099.61","4,998.01","126.65M","0.97%"
"27/04/2022","5,002.84","4,991.00","5,027.25","4,922.26","145.62M","0.39%"
"26/04/2022","4,983.23","5,067.11","5,077.93","4,983.23","140.53M","-0.61%"
"25/04/2022","5,013.68","5,014.84","5,058.87","4,983.42","146.02M","-1.85%"
"22/04/2022","5,108.43","5,137.91","5,164.28","5,103.81","139.29M","-1.93%"
"21/04/2022","5,208.78","5,152.66","5,242.37","5,148.75","137.05M","1.37%"
"20/04/2022","5,138.47","5,087.67","5,148.63","5,077.27","130.69M","1.32%"
"19/04/2022","5,071.68","5,079.38","5,094.89","5,041.10","132.58M","-0.76%"
"14/04/2022","5,110.74","5,094.40","5,124.21","5,075.90","125.90M","0.75%"
"13/04/2022","5,072.67","5,056.14","5,086.49","5,025.72","121.51M","0.07%"
"12/04/2022","5,069.20","5,008.72","5,091.69","4,985.16","135.68M","-0.27%"
"11/04/2022","5,082.87","5,083.33","5,124.99","5,040.28","125.29M","0.15%"
"08/04/2022","5,075.47","5,076.74","5,100.23","5,036.10","136.90M","1.32%"
"07/04/2022","5,009.39","5,060.52","5,101.59","5,001.62","145.25M","-0.51%"
"06/04/2022","5,035.09","5,138.52","5,146.27","4,991.79","164.44M","-2.17%"
"05/04/2022","5,146.88","5,214.13","5,223.53","5,116.28","156.04M","-1.27%"
"04/04/2022","5,213.28","5,198.84","5,223.25","5,147.45","113.41M","0.66%"
"01/04/2022","5,179.08","5,172.75","5,197.76","5,145.61","120.87M","0.32%"
"31/03/2022","5,162.77","5,240.43","5,253.09","5,162.34","145.09M","-1.21%"
"30/03/2022","5,225.91","5,249.87","5,249.87","5,197.99","127.32M","-0.75%"
"29/03/2022","5,265.36","5,174.55","5,290.45","5,162.67","176.92M","3.07%"
"28/03/2022","5,108.38","5,100.74","5,179.15","5,096.24","133.80M","0.50%"
